Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      524     0.00     0.00  std::unique_ptr<Trainee, std::default_delete<Trainee> >::get() const
  0.00      0.00     0.00      524     0.00     0.00  std::__uniq_ptr_impl<Trainee, std::default_delete<Trainee> >::_M_ptr() const
  0.00      0.00     0.00      524     0.00     0.00  std::_Head_base<0ul, Trainee*, false>::_M_head(std::_Head_base<0ul, Trainee*, false> const&)
  0.00      0.00     0.00      524     0.00     0.00  std::_Tuple_impl<0ul, Trainee*, std::default_delete<Trainee> >::_M_head(std::_Tuple_impl<0ul, Trainee*, std::default_delete<Trainee> > const&)
  0.00      0.00     0.00      524     0.00     0.00  Trainee* const& std::__get_helper<0ul, Trainee*, std::default_delete<Trainee> >(std::_Tuple_impl<0ul, Trainee*, std::default_delete<Trainee> > const&)
  0.00      0.00     0.00      524     0.00     0.00  std::tuple_element<0ul, std::tuple<Trainee*, std::default_delete<Trainee> > >::type const& std::get<0ul, Trainee*, std::default_delete<Trainee> >(std::tuple<Trainee*, std::default_delete<Trainee> > const&)
  0.00      0.00     0.00      499     0.00     0.00  std::unique_ptr<Trainee, std::default_delete<Trainee> >::operator->() const
  0.00      0.00     0.00      333     0.00     0.00  CharacterFactory::BaseCharacter::get_HP() const
  0.00      0.00     0.00      310     0.00     0.00  std::unique_ptr<Villain, std::default_delete<Villain> >::get() const
  0.00      0.00     0.00      310     0.00     0.00  std::unique_ptr<Villain, std::default_delete<Villain> >::operator->() const
  0.00      0.00     0.00      310     0.00     0.00  std::__uniq_ptr_impl<Villain, std::default_delete<Villain> >::_M_ptr() const
  0.00      0.00     0.00      310     0.00     0.00  std::_Head_base<0ul, Villain*, false>::_M_head(std::_Head_base<0ul, Villain*, false> const&)
  0.00      0.00     0.00      310     0.00     0.00  std::_Tuple_impl<0ul, Villain*, std::default_delete<Villain> >::_M_head(std::_Tuple_impl<0ul, Villain*, std::default_delete<Villain> > const&)
  0.00      0.00     0.00      310     0.00     0.00  Villain* const& std::__get_helper<0ul, Villain*, std::default_delete<Villain> >(std::_Tuple_impl<0ul, Villain*, std::default_delete<Villain> > const&)
  0.00      0.00     0.00      310     0.00     0.00  std::tuple_element<0ul, std::tuple<Villain*, std::default_delete<Villain> > >::type const& std::get<0ul, Villain*, std::default_delete<Villain> >(std::tuple<Villain*, std::default_delete<Villain> > const&)
  0.00      0.00     0.00      199     0.00     0.00  CharacterFactory::BaseCharacter::get_defense_pts() const
  0.00      0.00     0.00      197     0.00     0.00  CharacterFactory::BaseCharacter::isAlive()
  0.00      0.00     0.00      190     0.00     0.00  CharacterFactory::BaseCharacter::get_attack_pts() const
  0.00      0.00     0.00      143     0.00     0.00  bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00      126     0.00     0.00  CharacterFactory::BaseCharacter::defend()
  0.00      0.00     0.00      126     0.00     0.00  CharacterFactory::BaseCharacter::sub_HP(unsigned int, unsigned int)
  0.00      0.00     0.00      123     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.00     0.00      111     0.00     0.00  CharacterFactory::BaseCharacter::attack()
  0.00      0.00     0.00      102     0.00     0.00  CharacterFactory::BaseCharacter::get_name[abi:cxx11]() const
  0.00      0.00     0.00       80     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00      0.00     0.00       79     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.00     0.00       78     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__niter_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00       73     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.00     0.00       73     0.00     0.00  CharacterFactory::BaseCharacter::get_level() const
  0.00      0.00     0.00       73     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*)
  0.00      0.00     0.00       73     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      0.00     0.00       73     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char const*>(char const*, char const*, std::__false_type)
  0.00      0.00     0.00       73     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(char const*, std::allocator<char> const&)
  0.00      0.00     0.00       73     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      0.00     0.00       73     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      0.00     0.00       73     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      0.00     0.00       70     0.00     0.00  CharacterFactory::BaseCharacter::get_class_name[abi:cxx11]() const
  0.00      0.00     0.00       67     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&>::type&)
  0.00      0.00     0.00       66     0.00     0.00  std::remove_reference<Trainee*&>::type&& std::move<Trainee*&>(Trainee*&)
  0.00      0.00     0.00       65     0.00     0.00  Game::behavior_options()
